time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 12:44:31.998,,,,8.829601253559881,,
2020-06-30 12:44:32.398,10.0,1.0,,,,
2020-06-30 12:44:36.998,,,,8.829601253559881,,
2020-06-30 12:44:37.398,7.0,1.0,,,,
2020-06-30 12:44:41.298,,,40.021777003484324,,,
2020-06-30 12:44:41.998,,,,8.89355396674285,,
2020-06-30 12:44:42.401,7.0,1.0,,,,
2020-06-30 12:44:46.998,,,,8.89355396674285,,
2020-06-30 12:44:47.458,7.0,1.0,,,,
2020-06-30 12:44:51.998,,,,8.857272778488712,,
2020-06-30 12:44:52.996,7.0,1.0,,,,
2020-06-30 12:44:54.811,,,,,1.0,16.0
2020-06-30 12:44:55.984,,,,,1.0,16.0
2020-06-30 12:44:56.998,,,,8.857272778488712,,
2020-06-30 12:44:57.398,7.0,1.0,,,,
2020-06-30 12:44:57.428,,,,,1.0,15.0
2020-06-30 12:45:01.998,,,,8.6564695656373,,
2020-06-30 12:45:02.454,7.0,1.0,,,,
2020-06-30 12:45:16.998,,,,8.62595048669037,,
2020-06-30 12:45:17.400,5.0,1.0,,,,
2020-06-30 12:45:21.998,,,,8.63165131270653,,
2020-06-30 12:45:22.398,5.0,1.0,,,,
2020-06-30 12:45:26.998,,,,8.63165131270653,,
2020-06-30 12:45:27.398,5.0,2.0,,,,
2020-06-30 12:45:30.455,,,,,1.0,21.0
2020-06-30 12:45:30.712,,,,,1.0,25.0
2020-06-30 12:45:31.061,,,,,1.0,19.0
2020-06-30 12:45:31.336,,,,,1.0,21.0
2020-06-30 12:45:31.665,,,,,1.0,24.0
2020-06-30 12:45:31.927,,,,,1.0,19.0
2020-06-30 12:45:31.998,,,,8.63165131270653,,
2020-06-30 12:45:32.219,,,,,1.0,22.0
2020-06-30 12:45:32.404,5.0,2.0,,,,
2020-06-30 12:45:32.641,,,,,1.0,22.0
2020-06-30 12:45:32.872,,,,,1.0,19.0
2020-06-30 12:45:33.122,,,,,1.0,19.0
2020-06-30 12:45:36.998,,,,8.63165131270653,,
2020-06-30 12:45:37.401,6.0,2.0,,,,
2020-06-30 12:45:41.298,,,40.02804095055397,,,
